VALUES,ACTIONS,ARGUMENTS,AVERAGE LENGTH,DIALOGUE SUCCESS,CONSENSUS SUCCESS,DIALOGUE SCORE,CONSENSUS SCORE
8,8,106,11.243,0.733,0.39,1.789,1.17
8,8,108,11.594,0.699,0.375,1.709,1.125
8,8,110,12.073,0.731,0.394,1.821,1.182
8,8,112,12.23,0.721,0.373,1.755,1.119
8,8,114,12.64,0.69,0.377,1.724,1.131
8,8,116,11.913,0.734,0.415,1.844,1.245
8,8,118,12.892,0.717,0.411,1.779,1.233
8,8,120,13.002,0.715,0.379,1.763,1.137
8,8,122,13.71,0.694,0.371,1.748,1.113
8,8,124,13.368,0.735,0.418,1.841,1.254
8,8,126,12.759,0.728,0.431,1.862,1.293
8,8,128,14.231,0.711,0.41,1.805,1.23
